,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
18,1970-01-13T09:54:55.800Z,19.3283333,-155.23516669999998,6.572,,,10.0,240.0,,0.09,hv,hv19700095,2020-03-31T16:15:42.210Z,"12 km S of Volcano, Hawaii",earthquake,1.56,1.5,,,reviewed,hv,hv
19,1970-01-13T09:26:37.320Z,34.009666700000004,-117.119,0.01,2.96,ml,12.0,102.0,0.2137,0.64,ci,ci3324895,2016-01-29T01:13:56.270Z,"6km WNW of Calimesa, CA",earthquake,1.59,2.97,0.177,7.0,reviewed,ci,ci
20,1970-01-13T09:15:10.070Z,19.4075,-155.2885,13.679,,,11.0,75.0,,0.09,hv,hv19700094,2020-03-31T16:15:42.070Z,"6 km SW of Volcano, Hawaii",earthquake,1.18,0.58,,,reviewed,hv,hv
21,1970-01-13T06:52:19.550Z,19.327,-155.26866669999998,5.682,2.31,ml,15.0,213.0,,0.12,hv,hv19700093,2020-03-31T16:15:41.920Z,"13 km SSW of Volcano, Hawaii",earthquake,0.78,1.09,,1.0,reviewed,hv,hv
22,1970-01-13T06:50:27.240Z,19.3026667,-155.225,6.482,,,11.0,237.0,,0.12,hv,hv19700092,2020-03-31T16:15:41.790Z,"Island of Hawaii, Hawaii",earthquake,1.36,2.28,,,reviewed,hv,hv
23,1970-01-13T04:31:46.430Z,19.307833300000002,-155.0856667,2.544,,,12.0,240.0,,0.1,hv,hv19700091,2020-03-31T16:15:41.660Z,"18 km SSE of Fern Forest, Hawaii",earthquake,2.21,13.7,,,reviewed,hv,hv
24,1970-01-13T03:43:47.830Z,19.317166699999998,-155.1795,7.2620000000000005,,,8.0,257.0,,0.09,hv,hv19700090,2020-03-31T16:15:41.510Z,"15 km SSE of Volcano, Hawaii",earthquake,1.09,1.88,,,reviewed,hv,hv
25,1970-01-13T03:41:03.210Z,19.3318333,-155.19166669999998,5.432,,,7.0,229.0,,0.04,hv,hv19700089,2020-03-31T16:15:41.370Z,"13 km SSE of Volcano, Hawaii",earthquake,1.07,1.44,,,reviewed,hv,hv
26,1970-01-13T03:39:36.300Z,19.327666699999998,-155.18933330000002,5.042,,,9.0,236.0,,0.03,hv,hv19700088,2020-03-31T16:15:41.230Z,"13 km SSE of Volcano, Hawaii",earthquake,1.1,1.8,,,reviewed,hv,hv
27,1970-01-13T03:27:00.640Z,19.3146667,-155.1781667,6.522,,,9.0,260.0,,0.04,hv,hv19700087,2020-03-31T16:15:41.090Z,"15 km SSE of Volcano, Hawaii",earthquake,1.22,1.33,,,reviewed,hv,hv
28,1970-01-13T03:16:09.700Z,19.336833300000002,-155.201,4.242,1.57,ml,10.0,211.0,,0.11,hv,hv19700086,2020-03-31T16:15:40.960Z,"12 km SSE of Volcano, Hawaii",earthquake,0.89,1.42,,1.0,reviewed,hv,hv
29,1970-01-13T03:10:42.980Z,19.3381667,-155.196,10.128,,,5.0,216.0,,0.02,hv,hv19700085,2020-03-31T16:15:40.820Z,"12 km SSE of Volcano, Hawaii",earthquake,1.94,2.53,,,reviewed,hv,hv
30,1970-01-13T02:51:50.530Z,35.3558333,-118.56833329999999,6.0,2.8,ml,9.0,117.0,0.3158,0.62,ci,ci3324894,2016-01-29T01:13:55.090Z,"27km SSW of Bodfish, CA",earthquake,1.37,31.61,0.069,8.0,reviewed,ci,ci
31,1970-01-13T00:09:00.410Z,19.4278333,-155.38299999999998,5.05,2.08,ml,12.0,176.0,,0.1,hv,hv19700084,2020-03-31T16:15:40.680Z,"15 km W of Volcano, Hawaii",earthquake,0.8,2.53,,1.0,reviewed,hv,hv
32,1970-01-12T19:04:15.290Z,35.789,-117.675,0.02,3.21,ml,10.0,161.0,0.06841,0.24,ci,ci3324893,2016-01-29T01:13:54.440Z,"19km N of Ridgecrest, CA",earthquake,3.17,4.48,0.096,8.0,reviewed,ci,ci
33,1970-01-12T18:51:18.040Z,19.377,-155.3801667,5.534,,,9.0,171.0,,0.09,hv,hv19700083,2020-03-31T16:15:40.470Z,"16 km WSW of Volcano, Hawaii",earthquake,0.68,2.32,,,reviewed,hv,hv
34,1970-01-12T18:03:31.800Z,19.325,-155.2378333,8.462,,,9.0,211.0,,0.09,hv,hv19700082,2020-03-31T16:15:40.330Z,"13 km S of Volcano, Hawaii",earthquake,1.05,0.93,,,reviewed,hv,hv
35,1970-01-12T14:34:09.800Z,19.1885,-155.5205,31.575,,,7.0,327.0,,0.09,hv,hv19700081,2020-03-31T16:15:40.200Z,"4 km WSW of P?hala, Hawaii",earthquake,3.24,2.63,,,reviewed,hv,hv
36,1970-01-12T12:23:39.930Z,19.3671667,-155.29983330000002,29.028000000000002,,,9.0,156.0,,0.23,hv,hv19700080,2020-03-31T16:15:40.070Z,"10 km SW of Volcano, Hawaii",earthquake,3.6,1.69,,,reviewed,hv,hv
37,1970-01-12T11:21:15.100Z,35.89,-103.4,,3.5,mb,,,,,ushis,ushis3088,2018-06-04T20:43:45.000Z,"41 km NW of Nara Visa, New Mexico",earthquake,,,,,reviewed,ushis,us
38,1970-01-12T10:59:17.440Z,19.325,-155.188,4.7219999999999995,,,10.0,219.0,,0.04,hv,hv19700079,2020-03-31T16:15:39.930Z,"13 km SSE of Volcano, Hawaii",earthquake,1.04,1.66,,,reviewed,hv,hv
39,1970-01-12T08:42:51.320Z,33.1405,-116.16766670000001,6.0,2.42,mh,6.0,129.0,0.62,0.53,ci,ci3324892,2016-01-29T01:24:05.280Z,"3km W of Ocotillo Wells, CA",earthquake,1.82,31.61,0.1,9.0,reviewed,ci,ci
40,1970-01-12T06:24:44.530Z,32.5098333,-115.24516670000001,6.0,2.44,mh,3.0,247.0,0.6448,0.52,ci,ci3324891,2016-01-29T01:19:02.610Z,"12km ESE of Puebla, B.C., MX",earthquake,7.82,31.61,0.298,4.0,reviewed,ci,ci
41,1970-01-12T03:47:14.300Z,33.853333299999996,-116.55266670000002,6.0,2.65,mh,8.0,108.0,0.5616,0.69,ci,ci3324890,2016-01-29T01:29:01.930Z,"4km NNW of Palm Springs, CA",earthquake,1.59,31.61,0.162,18.0,reviewed,ci,ci
42,1970-01-12T01:55:57.650Z,19.3083333,-155.2851667,5.898,1.96,ml,9.0,225.0,,0.04,hv,hv19700078,2020-03-31T16:15:39.800Z,"15 km SSW of Volcano, Hawaii",earthquake,1.0,1.14,0.02,1.0,reviewed,hv,hv
43,1970-01-12T01:29:53.060Z,19.3056667,-155.2558333,5.872000000000001,2.02,ml,15.0,226.0,,0.1,hv,hv19700077,2020-03-31T16:15:39.650Z,"15 km S of Volcano, Hawaii",earthquake,1.08,1.02,0.1,1.0,reviewed,hv,hv
44,1970-01-11T19:31:18.070Z,34.7638333,-121.91866670000002,6.0,3.19,mh,6.0,329.0,1.617,0.25,ci,ci3324889,2016-01-29T01:13:53.870Z,"116km WSW of Los Osos, CA",earthquake,4.87,31.61,0.121,16.0,reviewed,ci,ci
45,1970-01-11T19:30:02.830Z,19.333,-155.2055,5.832000000000001,1.7,ml,14.0,213.0,,0.09,hv,hv19700076,2020-03-31T16:15:39.380Z,"12 km SSE of Volcano, Hawaii",earthquake,1.15,1.0,,1.0,reviewed,hv,hv
46,1970-01-11T15:18:16.420Z,35.5033333,-118.45133329999999,5.17,2.33,mh,7.0,91.0,0.1602,0.35,ci,ci3324888,2016-01-29T01:19:02.120Z,"10km SSE of Bodfish, CA",earthquake,0.84,3.45,0.213,11.0,reviewed,ci,ci
47,1970-01-11T15:10:45.180Z,35.5163333,-118.43333329999999,6.4,2.24,mh,7.0,88.0,0.1498,0.48,ci,ci3324887,2016-01-29T01:43:22.770Z,"10km SSE of Bodfish, CA",earthquake,1.09,6.25,0.146,10.0,reviewed,ci,ci
48,1970-01-11T14:41:32.820Z,34.6231667,-121.79283329999998,6.0,3.37,ml,9.0,311.0,1.5,0.74,ci,ci3324886,2016-01-29T01:33:53.410Z,"115km WSW of Avila Beach, CA",earthquake,7.64,31.61,0.12300000000000001,6.0,reviewed,ci,ci
49,1970-01-11T14:33:54.940Z,35.4905,-118.44200000000001,6.0,2.03,mh,4.0,197.0,0.1739,0.22,ci,ci3324885,2016-01-29T01:33:52.920Z,"12km SSE of Bodfish, CA",earthquake,1.38,31.61,0.175,9.0,reviewed,ci,ci
50,1970-01-11T13:50:41.420Z,35.4925,-118.42016670000001,6.0,2.24,mh,7.0,89.0,0.1755,0.44,ci,ci3324884,2016-01-29T01:24:04.800Z,"12km SSE of Bodfish, CA",earthquake,1.24,31.61,0.2,11.0,reviewed,ci,ci
51,1970-01-11T12:15:39.700Z,19.3475,-155.306,28.718000000000004,2.11,ml,17.0,94.0,,0.09,hv,hv19700075,2020-03-31T16:15:39.240Z,"12 km SW of Volcano, Hawaii",earthquake,1.5,1.0,0.41,1.0,reviewed,hv,hv
52,1970-01-11T09:48:03.820Z,19.3438333,-155.487,9.342,,,9.0,178.0,,0.03,hv,hv19700074,2020-03-31T16:15:39.080Z,"15 km N of P?hala, Hawaii",earthquake,1.16,2.01,,,reviewed,hv,hv
53,1970-01-11T05:41:43.480Z,19.322,-155.2395,6.322,1.91,ml,15.0,214.0,,0.1,hv,hv19700073,2020-03-31T16:15:38.940Z,"13 km S of Volcano, Hawaii",earthquake,1.0,1.14,0.01,0.0,reviewed,hv,hv
54,1970-01-11T05:09:22.100Z,19.297333300000002,-155.1095,3.012,1.84,ml,12.0,240.0,,0.18,hv,hv19700072,2020-03-31T16:15:38.800Z,,earthquake,2.83,17.58,,1.0,reviewed,hv,hv
55,1970-01-11T05:02:05.000Z,7.3260000000000005,126.85700000000001,45.0,6.0,mw,,,,,iscgem,iscgem799983,2020-07-10T00:27:11.953Z,"31 km E of Santiago, Philippines",earthquake,,,,,automatic,iscgem,iscgem
56,1970-01-11T04:56:37.170Z,19.2981667,-155.1188333,7.0520000000000005,2.15,ml,14.0,238.0,,0.12,hv,hv19700071,2020-03-31T16:15:38.660Z,"18 km S of Fern Forest, Hawaii",earthquake,1.42,2.24,0.07,1.0,reviewed,hv,hv
57,1970-01-10T22:33:32.570Z,19.439,-155.41383330000002,10.55,,,8.0,221.0,,0.03,hv,hv19700070,2020-03-31T16:15:38.520Z,"18 km W of Volcano, Hawaii",earthquake,2.12,5.27,,,reviewed,hv,hv
58,1970-01-10T15:48:38.320Z,19.3393333,-155.19666669999998,5.922000000000001,1.7,ml,15.0,209.0,,0.09,hv,hv19700069,2020-03-31T16:15:38.380Z,"12 km SSE of Volcano, Hawaii",earthquake,1.08,1.07,,2.0,reviewed,hv,hv
59,1970-01-10T14:16:28.000Z,6.71,126.765,40.0,5.7,mw,,,,,iscgem,iscgem799953,2015-05-13T18:53:03.000Z,"50 km SE of Lukatan, Philippines",earthquake,,,,,automatic,iscgem,iscgem
60,1970-01-10T13:59:37.000Z,6.71,126.863,40.0,5.7,mw,,,,,iscgem,iscgem799952,2015-05-13T18:53:03.000Z,"59 km SE of Lukatan, Philippines",earthquake,,,,,automatic,iscgem,iscgem
61,1970-01-10T12:07:07.000Z,6.785,126.682,40.0,7.2,mw,,,,,iscgem,iscgem799944,2020-07-10T00:26:55.456Z,"38 km SE of Lukatan, Philippines",earthquake,,,,,automatic,iscgem,iscgem
62,1970-01-10T11:45:25.680Z,34.6791667,-116.34133329999999,6.88,2.97,ml,9.0,179.0,0.7289,0.46,ci,ci3324883,2016-01-29T01:19:01.560Z,"17km WSW of Ludlow, CA",earthquake,1.59,3.36,0.134,5.0,reviewed,ci,ci
63,1970-01-10T09:22:47.430Z,19.291166699999998,-155.261,5.972,,,15.0,207.0,,0.1,hv,hv19700068,2020-03-31T16:15:54.810Z,"17 km S of Volcano, Hawaii",earthquake,0.99,1.72,,,reviewed,hv,hv
64,1970-01-10T09:13:41.750Z,19.286666699999998,-155.27216669999999,9.322000000000001,,,9.0,240.0,,0.11,hv,hv19700067,2020-03-31T16:14:04.810Z,"17 km SSW of Volcano, Hawaii",earthquake,1.58,2.36,,,reviewed,hv,hv
65,1970-01-10T09:07:18.860Z,19.2748333,-155.2608333,6.572,2.65,ml,18.0,183.0,,0.09,hv,hv19700066,2020-03-31T16:14:04.670Z,"18 km S of Volcano, Hawaii",earthquake,0.61,0.66,0.02,1.0,reviewed,hv,hv
66,1970-01-10T06:44:17.930Z,19.433166699999997,-155.4098333,9.26,1.94,ml,17.0,146.0,,0.13,hv,hv19700065,2020-03-31T16:14:04.520Z,"18 km W of Volcano, Hawaii",earthquake,0.68,1.18,0.33,1.0,reviewed,hv,hv
67,1970-01-10T03:43:05.660Z,19.290833300000003,-155.1896667,9.468,,,6.0,323.0,,0.04,hv,hv19700064,2020-03-31T16:14:04.390Z,"17 km SSE of Volcano, Hawaii",earthquake,2.42,2.56,,,reviewed,hv,hv
68,1970-01-10T02:47:03.430Z,34.4358333,-119.11200000000001,6.0,3.03,ml,9.0,162.0,0.4684,0.41,ci,ci3324882,2016-01-29T01:24:04.310Z,"10km NNW of Santa Paula, CA",earthquake,1.8,31.61,0.198,9.0,reviewed,ci,ci
69,1970-01-10T01:17:20.290Z,46.9236667,-118.215,1.486,2.5,md,6.0,271.0,0.5275,0.34,uw,uw10836023,2016-07-24T23:40:14.110Z,"19 km NNE of Washtucna, Washington",explosion,15.81,17.78,0.12,0.0,reviewed,uw,uw
70,1970-01-10T00:56:56.920Z,19.345833300000002,-155.4835,9.332,,,7.0,178.0,,0.09,hv,hv19700063,2020-03-31T16:14:04.130Z,"Island of Hawaii, Hawaii",earthquake,1.77,1.97,,,reviewed,hv,hv
71,1970-01-10T00:23:28.410Z,19.317,-155.2258333,8.022,1.85,ml,12.0,224.0,,0.06,hv,hv19700062,2020-03-31T16:14:03.990Z,"13 km S of Volcano, Hawaii",earthquake,1.3,2.12,,2.0,reviewed,hv,hv
72,1970-01-09T23:17:32.690Z,19.3391667,-155.1915,9.032,,,12.0,215.0,,0.07,hv,hv19700061,2020-03-31T16:14:03.860Z,"12 km SSE of Volcano, Hawaii",earthquake,1.76,2.31,,,reviewed,hv,hv
73,1970-01-09T23:16:22.000Z,-9.166,117.235,66.6,5.8,mw,,,,,iscgem,iscgem799928,2020-07-10T00:26:44.610Z,"77 km SSW of Sumbawa Besar, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
74,1970-01-09T17:46:58.570Z,19.6818333,-155.725,4.688,,,13.0,311.0,,0.11,hv,hv19700060,2020-03-31T16:14:03.730Z,"24 km ENE of H?lualoa, Hawaii",earthquake,10.43,4.33,,,reviewed,hv,hv
75,1970-01-09T14:49:48.300Z,19.4278333,-155.45,2.793,,,14.0,255.0,,0.1,hv,hv19700059,2020-03-31T16:14:03.590Z,"22 km W of Volcano, Hawaii",earthquake,2.39,12.81,,,reviewed,hv,hv
76,1970-01-09T13:54:14.010Z,19.3553333,-155.4878333,5.787999999999999,,,17.0,103.0,,0.11,hv,hv19700058,2020-03-31T16:14:03.450Z,"16 km N of P?hala, Hawaii",earthquake,0.69,1.86,,,reviewed,hv,hv
77,1970-01-09T13:20:02.120Z,19.3641667,-155.4123333,8.907,,,14.0,131.0,,0.08,hv,hv19700057,2020-03-31T16:14:03.320Z,"19 km NNE of P?hala, Hawaii",earthquake,0.87,1.69,,,reviewed,hv,hv
78,1970-01-09T10:07:23.780Z,18.767,-155.46083330000002,37.422,,,6.0,301.0,,0.09,hv,hv19700056,2020-03-31T16:14:03.190Z,"35 km SSE of Naalehu, Hawaii",earthquake,3.32,3.48,,,reviewed,hv,hv
79,1970-01-09T08:55:06.730Z,19.3336667,-155.2573333,4.562,,,15.0,158.0,,0.15,hv,hv19700055,2020-03-31T16:14:03.040Z,"12 km SSW of Volcano, Hawaii",earthquake,0.73,1.32,,,reviewed,hv,hv
80,1970-01-09T08:48:42.330Z,19.326166699999998,-155.262,4.582,,,14.0,162.0,,0.1,hv,hv19700054,2020-03-31T16:14:02.890Z,"13 km SSW of Volcano, Hawaii",earthquake,0.7,1.22,,,reviewed,hv,hv
81,1970-01-09T07:43:41.000Z,19.8863333,-155.54266669999998,16.195999999999998,2.16,ml,16.0,166.0,,0.1,hv,hv19700053,2020-03-31T16:14:02.740Z,"20 km SE of Waimea, Hawaii",earthquake,2.42,13.39,,0.0,reviewed,hv,hv
82,1970-01-09T07:10:24.180Z,19.7315,-155.764,3.773,2.84,ml,15.0,310.0,,0.1,hv,hv19700052,2020-03-31T16:14:02.580Z,"22 km E of Kalaoa, Hawaii",earthquake,2.45,1.71,,0.0,reviewed,hv,hv
83,1970-01-09T06:57:21.390Z,19.2915,-155.22566669999998,-0.44299999999999995,,,9.0,233.0,,0.11,hv,hv19700051,2020-03-31T16:14:02.440Z,"16 km S of Volcano, Hawaii",earthquake,0.83,0.35,,,reviewed,hv,hv
84,1970-01-09T05:08:10.650Z,35.397,-118.61016670000001,6.0,2.44,mh,8.0,123.0,0.2875,0.59,ci,ci3324881,2016-01-29T01:19:01.060Z,"24km SSW of Bodfish, CA",earthquake,1.88,31.61,0.14300000000000002,17.0,reviewed,ci,ci
85,1970-01-09T05:00:46.670Z,19.3056667,-155.22666669999998,4.583,,,14.0,181.0,,0.07,hv,hv19700050,2020-03-31T16:14:02.300Z,"15 km S of Volcano, Hawaii",earthquake,0.76,2.24,,,reviewed,hv,hv
86,1970-01-09T04:53:57.300Z,19.3378333,-155.2246667,5.872999999999999,,,10.0,197.0,,0.04,hv,hv19700049,2020-03-31T16:14:02.160Z,"11 km S of Volcano, Hawaii",earthquake,1.03,1.65,,,reviewed,hv,hv
87,1970-01-09T04:13:38.050Z,19.3053333,-155.2265,5.861000000000001,,,9.0,234.0,,0.09,hv,hv19700048,2020-03-31T16:14:02.030Z,"15 km S of Volcano, Hawaii",earthquake,1.83,2.24,,,reviewed,hv,hv
88,1970-01-09T03:38:41.210Z,19.3131667,-155.226,5.523,,,12.0,227.0,,0.08,hv,hv19700047,2020-03-31T16:14:01.900Z,"14 km S of Volcano, Hawaii",earthquake,1.31,1.99,,,reviewed,hv,hv
89,1970-01-09T02:33:27.700Z,19.4033333,-155.3988333,4.573,,,12.0,157.0,,0.12,hv,hv19700046,2020-03-31T16:14:01.760Z,"17 km WSW of Volcano, Hawaii",earthquake,0.86,3.33,,,reviewed,hv,hv
90,1970-01-08T23:07:24.880Z,19.325833300000003,-155.1595,5.322,,,8.0,279.0,,0.06,hv,hv19700045,2020-03-31T16:14:01.630Z,"15 km SSE of Volcano, Hawaii",earthquake,4.09,4.3,,,reviewed,hv,hv
91,1970-01-08T22:20:43.330Z,19.528833300000002,-155.4626667,3.045,,,13.0,251.0,,0.08,hv,hv19700044,2020-03-31T16:14:01.490Z,"25 km WNW of Volcano, Hawaii",earthquake,2.44,12.24,,,reviewed,hv,hv
92,1970-01-08T19:35:54.270Z,19.3263333,-155.1146667,3.222,2.17,ml,14.0,217.0,,0.15,hv,hv19700043,2020-03-31T16:14:01.350Z,"15 km S of Fern Forest, Hawaii",earthquake,1.4,4.02,,0.0,reviewed,hv,hv
93,1970-01-08T17:25:34.390Z,19.2083333,-155.3808333,4.003,,,14.0,234.0,,0.06,hv,hv19700042,2020-03-31T16:14:01.210Z,"10 km E of P?hala, Hawaii",earthquake,1.21,2.92,,,reviewed,hv,hv
94,1970-01-08T17:17:37.230Z,19.309666699999998,-155.2321667,5.392,,,13.0,205.0,,0.11,hv,hv19700041,2020-03-31T16:14:01.070Z,"14 km S of Volcano, Hawaii",earthquake,1.13,1.75,,,reviewed,hv,hv
95,1970-01-08T17:12:41.000Z,-34.85,178.782,199.4,6.8,mw,,,,,iscgem,iscgem799872,2015-05-13T18:53:03.000Z,south of the Kermadec Islands,earthquake,,,,,automatic,iscgem,iscgem
96,1970-01-08T17:00:33.860Z,34.5743333,-121.56583329999998,6.0,3.7,ml,19.0,246.0,,0.51,ci,ci3324880,2016-01-29T01:24:03.770Z,"98km W of Vandenberg Air Force Base, CA",earthquake,3.65,31.61,0.175,10.0,reviewed,ci,ci
97,1970-01-08T14:40:04.000Z,19.3788333,-155.46816669999998,12.533,,,8.0,167.0,,0.05,hv,hv19700040,2020-03-31T16:14:00.940Z,"19 km N of P?hala, Hawaii",earthquake,1.34,4.24,,,reviewed,hv,hv
98,1970-01-08T12:05:45.580Z,19.401166699999997,-155.47183330000001,8.743,2.17,ml,15.0,72.0,,0.13,hv,hv19700039,2020-03-31T16:14:00.780Z,"21 km N of P?hala, Hawaii",earthquake,0.57,1.37,,0.0,reviewed,hv,hv
99,1970-01-08T10:41:19.760Z,19.33,-155.1733333,6.202000000000001,2.05,ml,15.0,225.0,,0.1,hv,hv19700038,2020-03-31T16:14:00.640Z,"14 km SSE of Volcano, Hawaii",earthquake,1.3,0.73,,0.0,reviewed,hv,hv
100,1970-01-08T09:32:57.860Z,19.3265,-155.1605,6.153,,,10.0,265.0,,0.05,hv,hv19700037,2020-03-31T16:14:00.500Z,"15 km SSE of Volcano, Hawaii",earthquake,1.51,2.23,,,reviewed,hv,hv
101,1970-01-08T09:22:55.090Z,19.303,-155.21816669999998,6.3420000000000005,2.22,ml,15.0,196.0,,0.1,hv,hv19700036,2020-03-31T16:14:00.360Z,"15 km S of Volcano, Hawaii",earthquake,1.05,1.27,,0.0,reviewed,hv,hv
102,1970-01-08T08:25:18.340Z,19.326666699999997,-155.2286667,4.583,,,14.0,173.0,,0.11,hv,hv19700035,2020-03-31T16:14:00.210Z,"12 km S of Volcano, Hawaii",earthquake,0.85,1.78,,,reviewed,hv,hv
103,1970-01-08T04:27:00.930Z,19.5375,-155.70483330000002,10.305,,,13.0,191.0,,0.22,hv,hv19700034,2020-03-31T16:14:00.080Z,"19 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.86,0.8,,,reviewed,hv,hv
104,1970-01-08T02:16:41.350Z,34.3078333,-117.13983329999999,6.0,2.75,ml,13.0,100.0,0.3694,0.43,ci,ci3324875,2016-01-29T01:29:01.390Z,"8km NE of Lake Arrowhead, CA",earthquake,0.8,31.61,0.147,5.0,reviewed,ci,ci
105,1970-01-07T18:04:50.000Z,34.607,-120.98066670000001,6.0,3.07,mh,5.0,324.0,0.8309,0.23,ci,ci3324873,2016-01-29T01:19:00.560Z,"45km WSW of Vandenberg Air Force Base, CA",earthquake,2.59,31.61,0.127,20.0,reviewed,ci,ci
106,1970-01-07T17:58:29.650Z,19.426,-155.8108333,5.185,,,12.0,178.0,,0.08,hv,hv19700033,2020-03-31T16:13:59.940Z,"6 km ESE of Honaunau-Napoopoo, Hawaii",earthquake,1.46,5.12,,,reviewed,hv,hv
107,1970-01-07T17:33:41.390Z,19.300333300000002,-155.0903333,6.604,2.32,ml,14.0,245.0,,0.13,hv,hv19700032,2020-03-31T16:13:59.810Z,"18 km SSE of Fern Forest, Hawaii",earthquake,1.43,1.67,0.12,0.0,reviewed,hv,hv
108,1970-01-07T15:18:46.710Z,19.3335,-155.1973333,9.172,2.83,ml,16.0,209.0,,0.1,hv,hv19700031,2020-03-31T16:13:59.660Z,"12 km SSE of Volcano, Hawaii",earthquake,1.29,0.69,0.13,2.0,reviewed,hv,hv
